Gene,DiffusionScore
DHX9,0.0003383083380375484
LNX1,0.0003373704364457531
HSF1,0.00033729266303083997
RHOC,0.0003370235968619603
NUP43,0.00033687640927596214
LMNB1,0.000336862394223428
RUVBL2,0.0003368072403780606
SPRTN,0.0003365115469600567
HNRNPD,0.00033618088779560244
LGALS9,0.00033555968838609615
PPP1CA,0.0003351042094088918
ZC3HAV1,0.00033490609254243123
NEK4,0.00033388824930698956
CUL2,0.00033361365662996353
USP36,0.00033165216880318463
CCT3,0.00033162437940568724
PPP2R1A,0.0003295760625872486
AKT1,0.0003294402030533925
ARF6,0.0003285838020999867
H2AFX,0.00032678605387577854
RPL19,0.0003263975896051746
RPL6,0.0003263376390868943
FBXL6,0.00032586020036070814
RAB35,0.00032585790178431387
RPL23A,0.00032584475183518
SUMO2,0.00032573745647124355
RHOD,0.00032541711748144167
ATP5B,0.0003253792519055803
RAB5C,0.00032500739825562427
RPL5,0.00032386094208239097
RNF149,0.00032326872765858853
CALM1,0.000323009327436011
DDX24,0.0003227589083745755
SLX4,0.00032137600952431423
ILF2,0.0003213251640555106
EED,0.00032118182015268375
HIST1H2BG,0.0003204459607873094
HNRNPF,0.00032020484253951216
BCAP31,0.0003192091073478442
CYSRT1,0.0003191419972391055
CCT6A,0.0003177538160848297
CCT7,0.0003175324644446979
SSBP1,0.000317139697867628
DDX39B,0.00031581223334802304
CLPP,0.00031500991719698166
ATP1A1,0.0003133048832374595
SRC,0.00031285726923515445
METTL14,0.00031261751330300986
MAP1LC3B,0.0003125905997318631
IQGAP1,0.000312152608275866
RBX1,0.0003120018726725856
RBBP4,0.00031182033333661263
BCAR1,0.00031143226442175695
TERF2IP,0.00031104603097345936
FKBP8,0.0003106140651412637
NOP56,0.00030975991706113645
DVL2,0.00030928376948020616
FBXO22,0.00030878138020008143
UPF1,0.0003085823390004825
RIOK1,0.00030844154478338584
TUBB4B,0.0003082212566369833
RUVBL1,0.00030745491346436754
IGF2BP3,0.0003072179946071724
COIL,0.0003070216958936671
EZR,0.0003063757861330781
DYRK1A,0.0003062812709812162
USP11,0.00030624426261151365
ITFG1,0.00030580566485542216
TCP1,0.0003056511643949226
RAB2A,0.00030527448422680375
HGS,0.000304330937773678
DNAJA2,0.00030342555042297187
RPS10,0.00030307540833776555
SRSF1,0.0003028287097258261
ITGA4,0.0003025999678177641
RPL17,0.00030071387780723763
SF3B1,0.0003006016610072143
CCT8,0.0003003963606789342
UBR5,0.0003002270928847147
IFITM3,0.0002994361188708776
RPL13A,0.0002989082484139712
INS,0.0002982752385931932
ATP5A1,0.00029816322601167714
EEF2,0.00029747782205744315
LZTS2,0.0002971336248120458
CUL5,0.00029681541439567215
RHOU,0.0002962683002401309
PSMD14,0.00029580543410805235
CREBBP,0.0002956251627911599
DNAJA1,0.00029500043016235177
CDK1,0.0002946654691308542
SF3B3,0.0002944920877335074
KPNB1,0.0002942953871477302
PHB2,0.0002942684245151734
NEDD4,0.0002940869838892691
SNAI1,0.00029405295125402336
SEC62,0.00029372334785808047
SART3,0.00029345427877558786
HADHA,0.00029332081411762874
SFPQ,0.00029301323220967023
VDAC1,0.00029278003026936755
RBM14,0.0002927214419313237
RPL23,0.0002924251338867619
TRIM27,0.00029224664910031253
B3GNT2,0.00029217805209056643
RHOH,0.00029209663146795783
HNRNPR,0.00029156327972042125
RPL14,0.00029154586638942964
SNX27,0.00029125501151194166
NONO,0.00029039905767703724
FOXA1,0.0002901137954493982
DDX5,0.0002892498255918915
MAPRE1,0.0002887045832919997
MTDH,0.0002876839185539993
AKAP1,0.0002873588784111921
CCT5,0.00028731216615317164
HIST1H2AB,0.00028604854280058406
TARDBP,0.0002859651044459298
OCLN,0.00028593504570977637
PICK1,0.0002854285888955774
CCT4,0.0002846090704152269
LAMP3,0.0002834558721205603
CPSF6,0.00028285525406729833
MDH2,0.00028276142171781445
MAP1B,0.00028248527463517654
PLK1,0.0002823437826539754
DHX30,0.00028204958859445495
RPL8,0.0002814904552640776
XRCC5,0.0002812017381086495
KPNA2,0.0002807036071124743
RPS20,0.00028065030772585453
CALCOCO2,0.00028056195080459475
TUBA4A,0.00028038772569472425
GRSF1,0.00028021264254395945
RCOR1,0.00027971998653000466
KAT6A,0.00027949490282001875
GNB2,0.00027940482120565824
SF3B2,0.00027853342606776904
RPL15,0.0002784271365537269
SNRPB,0.0002778336102098181
POLR2A,0.00027782307694608857
CDK7,0.00027776368738674474
ISG15,0.0002771789780140146
HIST1H3C,0.00027715716675868915
RPS24,0.00027678078626468207
TFRC,0.0002765759113546262
USP15,0.0002764703947146286
G3BP2,0.00027614082265214516
HIST1H1A,0.0002755994904487928
LRRK2,0.0002753400764734481
BRD3,0.0002750236979430431
RPSA,0.00027499946280382315
RPS9,0.0002747721938254128
VHL,0.0002746067621149188
PSMA1,0.0002744666031309789
PSPC1,0.00027445359074273486
